States,Districts,Crop,Year,Area,Production,Yield
Karnataka,Shimoga,Maize,2020,56518,251336,4.45
Karnataka,Shimoga,Maize,2021,45301,195789,4.32
Karnataka,Shimoga,Maize,2022,43839,117709,2.69
Karnataka,Tumkur,Maize,2012,24792,56714,2.29
Karnataka,Tumkur,Maize,2013,25247,53678,2.13
Karnataka,Tumkur,Maize,2014,27981,66721,2.38
Karnataka,Tumkur,Maize,2015,24031,62073,2.58
Karnataka,Tumkur,Maize,2016,27905,45676,1.64
Karnataka,Tumkur,Maize,2017,20073,58772,2.93
Karnataka,Tumkur,Maize,2018,29447,40032,1.36
Karnataka,Tumkur,Maize,2019,26132,70852,2.71
Karnataka,Tumkur,Maize,2020,33115,91894,2.77
Karnataka,Tumkur,Maize,2021,29243,55123,1.88
Karnataka,Tumkur,Maize,2022,27541,71551,2.6
Karnataka,Udupi,Maize,2018,1,3,3
Karnataka,Udupi,Maize,2019,1,3,3
Karnataka,Udupi,Maize,2020,2,7,3.5
Karnataka,Udupi,Maize,2012,11,33,3
Karnataka,Udupi,Maize,2013,15,46,3.07
Karnataka,Udupi,Maize,2014,29,98,3.38
Karnataka,Udupi,Maize,2015,7,17,2.43
Karnataka,Udupi,Maize,2021,52,189,3.63
Karnataka,Udupi,Maize,2022,27,96,3.56
Karnataka,Uttar kannad,Maize,2012,3974,23044,5.8
Karnataka,Uttar kannad,Maize,2013,5243,14718,2.81
Karnataka,Uttar kannad,Maize,2014,5667,21938,3.87
Karnataka,Uttar kannad,Maize,2015,4756,22302,4.69
Karnataka,Uttar kannad,Maize,2016,5222,29339,5.62
Karnataka,Uttar kannad,Maize,2017,8841,49940,5.65
Karnataka,Uttar kannad,Maize,2018,9553,37645,3.94
Karnataka,Uttar kannad,Maize,2019,10081,43412,4.31
Karnataka,Uttar kannad,Maize,2020,8348,39160,4.69
Karnataka,Uttar kannad,Maize,2021,7173,33891,4.72
Karnataka,Uttar kannad,Maize,2022,7465,30710,4.11
Karnataka,Vijayanagar,Maize,2022,195113,681920,3.5
Karnataka,Yadgir,Maize,2012,164,318,1.94
Karnataka,Yadgir,Maize,2013,76,202,2.66
Karnataka,Yadgir,Maize,2014,714,2316,3.24
Karnataka,Yadgir,Maize,2015,885,1861,2.1
Karnataka,Yadgir,Maize,2016,253,391,1.55
Karnataka,Yadgir,Maize,2017,38,165,4.34
Karnataka,Yadgir,Maize,2018,127,334,2.63
Karnataka,Yadgir,Maize,2019,194,902,4.65
Karnataka,Yadgir,Maize,2020,77,87,1.13
Karnataka,Yadgir,Maize,2021,58,187,3.22
Karnataka,Yadgir,Maize,2022,78,234,3
Karnataka,Bagalkot,Ragi,2018,24,29,1.21
Karnataka,Bagalkot,Ragi,2019,46,80,1.74
Karnataka,Bagalkot,Ragi,2020,59,104,1.76
Karnataka,Bagalkot,Ragi,2021,60,79,1.32
Karnataka,Bagalkot,Ragi,2022,12,17,1.42
Karnataka,Bangalore rural,Ragi,2012,39812,92776,2.33
Karnataka,Bangalore rural,Ragi,2013,40329,103750,2.57
Karnataka,Bangalore rural,Ragi,2014,35844,91940,2.57
Karnataka,Bangalore rural,Ragi,2015,38725,78838,2.04
Karnataka,Bangalore rural,Ragi,2016,36115,43573,1.21
Karnataka,Bangalore rural,Ragi,2017,37019,93125,2.52
Karnataka,Bangalore rural,Ragi,2018,42163,69255,1.64
Karnataka,Bangalore rural,Ragi,2019,46494,101280,2.18
Karnataka,Bangalore rural,Ragi,2020,55156,121784,2.21
Karnataka,Bangalore rural,Ragi,2021,65233,113570,1.74
Karnataka,Bangalore rural,Ragi,2022,60208,115118,1.91
Karnataka,Belgaum,Ragi,2012,903,672,0.74
Karnataka,Belgaum,Ragi,2013,1161,1024,0.88
Karnataka,Belgaum,Ragi,2014,1032,1207,1.17
Karnataka,Belgaum,Ragi,2015,145,30,0.21
Karnataka,Belgaum,Ragi,2016,1064,1448,1.36
Karnataka,Belgaum,Ragi,2017,433,597,1.38
Karnataka,Belgaum,Ragi,2018,1044,1292,1.24
Karnataka,Belgaum,Ragi,2019,1014,1193,1.18
Karnataka,Belgaum,Ragi,2020,1572,2058,1.31
Karnataka,Belgaum,Ragi,2021,1282,1702,1.33
Karnataka,Belgaum,Ragi,2022,647,783,1.21
Karnataka,Bellary,Ragi,2012,4102,2015,0.49
Karnataka,Bellary,Ragi,2013,3525,2548,0.72
Karnataka,Bellary,Ragi,2014,2897,2042,0.7
Karnataka,Bellary,Ragi,2015,2897,1671,0.58
Karnataka,Bellary,Ragi,2016,1988,2081,1.05
Karnataka,Bellary,Ragi,2017,10039,13590,1.35
Karnataka,Bellary,Ragi,2018,8823,6529,0.74
Karnataka,Bellary,Ragi,2019,11189,13521,1.21
Karnataka,Bellary,Ragi,2020,10831,14394,1.33
Karnataka,Bellary,Ragi,2021,14152,15497,1.1
Karnataka,Bellary,Ragi,2022,832,456,0.55
Karnataka,Bengaluru urban,Ragi,2012,22457,49517,2.2
Karnataka,Bengaluru urban,Ragi,2013,23157,72993,3.15
Karnataka,Bengaluru urban,Ragi,2014,23792,66654,2.8
Karnataka,Bengaluru urban,Ragi,2015,19670,44362,2.26
Karnataka,Bengaluru urban,Ragi,2016,15767,7624,0.48
Karnataka,Bengaluru urban,Ragi,2017,14268,26309,1.84
Karnataka,Bengaluru urban,Ragi,2018,10611,16905,1.59
Karnataka,Bengaluru urban,Ragi,2019,18380,37628,2.05
Karnataka,Bengaluru urban,Ragi,2020,17214,42174,2.45
Karnataka,Bengaluru urban,Ragi,2021,17822,30351,1.7
Karnataka,Bengaluru urban,Ragi,2022,14823,26799,1.81
Karnataka,Bidar,Ragi,2018,12,14,1.17
Karnataka,Bidar,Ragi,2019,36,63,1.75
Karnataka,Bidar,Ragi,2020,75,132,1.76
Karnataka,Bidar,Ragi,2021,48,63,1.31
Karnataka,Bidar,Ragi,2022,5,7,1.4
Karnataka,Bijapur,Ragi,2018,76,91,1.2
Karnataka,Bijapur,Ragi,2019,110,192,1.75
Karnataka,Bijapur,Ragi,2020,56,99,1.77
Karnataka,Bijapur,Ragi,2021,53,70,1.32
Karnataka,Bijapur,Ragi,2022,49,70,1.43
Karnataka,Chamarajanagar,Ragi,2012,8117,10395,1.28
Karnataka,Chamarajanagar,Ragi,2013,13801,22997,1.67
Karnataka,Chamarajanagar,Ragi,2014,15415,23812,1.54
Karnataka,Chamarajanagar,Ragi,2015,15768,28341,1.8
Karnataka,Chamarajanagar,Ragi,2016,5236,3318,0.63
Karnataka,Chamarajanagar,Ragi,2017,20062,48314,2.41
Karnataka,Chamarajanagar,Ragi,2018,8681,13319,1.53
Karnataka,Chamarajanagar,Ragi,2019,5081,10055,1.98
Karnataka,Chamarajanagar,Ragi,2020,8733,15510,1.78
Karnataka,Chamarajanagar,Ragi,2021,6758,8576,1.27
Karnataka,Chamarajanagar,Ragi,2022,3945,5538,1.4
Karnataka,Chikballapur,Ragi,2012,47375,94558,2
Karnataka,Chikballapur,Ragi,2013,47760,105218,2.2
Karnataka,Chikballapur,Ragi,2014,46858,69310,1.48
Karnataka,Chikballapur,Ragi,2015,46747,84911,1.82
Karnataka,Chikballapur,Ragi,2016,42562,39625,0.93
Karnataka,Chikballapur,Ragi,2017,48262,110404,2.29
Karnataka,Chikballapur,Ragi,2018,32260,27061,0.84
Karnataka,Chikballapur,Ragi,2019,44956,91652,2.04
Karnataka,Chikballapur,Ragi,2020,41898,102273,2.44
Karnataka,Chikballapur,Ragi,2021,39786,61788,1.55
Karnataka,Chikballapur,Ragi,2022,31223,50862,1.63
Karnataka,Chikmagalur,Ragi,2012,38664,37723,0.98
Karnataka,Chikmagalur,Ragi,2013,38547,41820,1.08
Karnataka,Chikmagalur,Ragi,2014,44122,52437,1.19
Karnataka,Chikmagalur,Ragi,2015,43660,60847,1.39
Karnataka,Chikmagalur,Ragi,2016,41200,24541,0.6
Karnataka,Chikmagalur,Ragi,2017,52115,71442,1.37
Karnataka,Chikmagalur,Ragi,2018,26956,32983,1.22
Karnataka,Chikmagalur,Ragi,2019,33624,43794,1.3
Karnataka,Chikmagalur,Ragi,2020,49970,61163,1.22
Karnataka,Chikmagalur,Ragi,2021,53654,55103,1.03
Karnataka,Chikmagalur,Ragi,2022,53404,55006,1.03
Karnataka,Chitradurga,Ragi,2012,45272,51137,1.13
Karnataka,Chitradurga,Ragi,2013,45995,57896,1.26
Karnataka,Chitradurga,Ragi,2014,54642,87468,1.6
Karnataka,Chitradurga,Ragi,2015,45555,72273,1.59
Karnataka,Chitradurga,Ragi,2016,49749,28451,0.57
Karnataka,Chitradurga,Ragi,2017,46110,87478,1.9
Karnataka,Chitradurga,Ragi,2018,19025,18200,0.96
Karnataka,Chitradurga,Ragi,2019,38291,54528,1.42
Karnataka,Chitradurga,Ragi,2020,37564,59389,1.58
Karnataka,Chitradurga,Ragi,2021,42201,36799,0.87
Karnataka,Chitradurga,Ragi,2022,36603,41654,1.14
Karnataka,Davangere,Ragi,2012,10758,11722,1.09
Karnataka,Davangere,Ragi,2013,9151,13492,1.47
Karnataka,Davangere,Ragi,2014,8729,13658,1.56
Karnataka,Davangere,Ragi,2015,12805,18989,1.48
Karnataka,Davangere,Ragi,2016,7740,7816,1.01
Karnataka,Davangere,Ragi,2017,18500,35308,1.91
Karnataka,Davangere,Ragi,2018,5415,5942,1.1
Karnataka,Davangere,Ragi,2019,6899,10722,1.55
Karnataka,Davangere,Ragi,2020,5615,7883,1.4
Karnataka,Davangere,Ragi,2021,10730,16471,1.54
Karnataka,Davangere,Ragi,2022,11786,15570,1.32
Karnataka,Dharwad,Ragi,2012,38,58,1.53
Karnataka,Dharwad,Ragi,2013,46,87,1.89
Karnataka,Dharwad,Ragi,2014,11,20,1.82
Karnataka,Dharwad,Ragi,2015,27,45,1.67
Karnataka,Dharwad,Ragi,2016,8,6,0.75
Karnataka,Dharwad,Ragi,2017,6,12,2
Karnataka,Dharwad,Ragi,2018,67,81,1.21
Karnataka,Dharwad,Ragi,2019,52,91,1.75
Karnataka,Dharwad,Ragi,2020,51,90,1.76
Karnataka,Dharwad,Ragi,2021,31,41,1.32
Karnataka,Dharwad,Ragi,2022,17,24,1.41
Karnataka,Gadag,Ragi,2012,9,14,1.56
Karnataka,Gadag,Ragi,2013,2,4,2
Karnataka,Gadag,Ragi,2014,10,18,1.8
Karnataka,Gadag,Ragi,2015,1,2,2
Karnataka,Gadag,Ragi,2016,52,42,0.81
Karnataka,Gadag,Ragi,2018,35,42,1.2
Karnataka,Gadag,Ragi,2019,53,93,1.75
Karnataka,Gadag,Ragi,2020,49,86,1.76
Karnataka,Gadag,Ragi,2021,57,75,1.32
Karnataka,Gadag,Ragi,2022,18,25,1.39
Karnataka,Gulbarga,Ragi,2018,69,83,1.2
Karnataka,Gulbarga,Ragi,2019,61,107,1.75
Karnataka,Gulbarga,Ragi,2020,60,106,1.77
Karnataka,Gulbarga,Ragi,2021,42,56,1.33
Karnataka,Gulbarga,Ragi,2022,40,57,1.43
Karnataka,Hassan,Ragi,2012,64850,66290,1.02
Karnataka,Hassan,Ragi,2013,68540,126384,1.84
Karnataka,Hassan,Ragi,2014,63354,141859,2.24
Karnataka,Hassan,Ragi,2015,63735,102327,1.61
Karnataka,Hassan,Ragi,2016,61346,44875,0.73
Karnataka,Hassan,Ragi,2017,91604,238532,2.6
Karnataka,Hassan,Ragi,2018,63784,53748,0.84
Karnataka,Hassan,Ragi,2019,71870,116002,1.61
Karnataka,Hassan,Ragi,2020,72289,76626,1.06
Karnataka,Hassan,Ragi,2021,94965,69040,0.73
Karnataka,Hassan,Ragi,2022,97116,110907,1.14
Karnataka,Haveri,Ragi,2012,249,98,0.39
Karnataka,Haveri,Ragi,2013,150,83,0.55
Karnataka,Haveri,Ragi,2014,225,160,0.71
Karnataka,Haveri,Ragi,2015,143,107,0.75
Karnataka,Haveri,Ragi,2016,124,77,0.62
Karnataka,Haveri,Ragi,2017,186,233,1.25
Karnataka,Haveri,Ragi,2018,267,303,1.13
Karnataka,Haveri,Ragi,2019,233,184,0.79
Karnataka,Haveri,Ragi,2020,193,178,0.92
Karnataka,Haveri,Ragi,2021,89,77,0.87
Karnataka,Haveri,Ragi,2022,45,16,0.36
Karnataka,Kodagu,Ragi,2012,12,10,0.83
Karnataka,Kodagu,Ragi,2018,62,75,1.21
Karnataka,Kodagu,Ragi,2019,21,37,1.76
Karnataka,Kodagu,Ragi,2020,18,32,1.78
Karnataka,Kodagu,Ragi,2021,18,23,1.28
Karnataka,Kodagu,Ragi,2022,1,1,1
Karnataka,Kolar,Ragi,2012,57079,137406,2.41
Karnataka,Kolar,Ragi,2013,55002,123680,2.25
Karnataka,Kolar,Ragi,2014,52427,70824,1.35
Karnataka,Kolar,Ragi,2015,58328,65774,1.13
Karnataka,Kolar,Ragi,2016,59258,25671,0.43
Karnataka,Kolar,Ragi,2017,66148,181546,2.74
Karnataka,Kolar,Ragi,2018,44077,43004,0.98
Karnataka,Kolar,Ragi,2019,59808,118010,1.97
Karnataka,Kolar,Ragi,2020,65270,144181,2.21
Karnataka,Kolar,Ragi,2021,55755,99467,1.78
Karnataka,Kolar,Ragi,2022,42598,73481,1.72
Karnataka,Koppal,Ragi,2018,69,83,1.2
Karnataka,Koppal,Ragi,2019,77,134,1.74
Karnataka,Koppal,Ragi,2020,51,90,1.76
Karnataka,Koppal,Ragi,2021,67,88,1.31
Karnataka,Koppal,Ragi,2022,13,18,1.38
Karnataka,Mandya,Ragi,2012,38581,61575,1.6
Karnataka,Mandya,Ragi,2013,41362,80042,1.94
Karnataka,Mandya,Ragi,2014,50810,89492,1.76
Karnataka,Mandya,Ragi,2015,52022,95827,1.84
Karnataka,Mandya,Ragi,2016,34994,41655,1.19
Karnataka,Mandya,Ragi,2017,66671,109954,1.65
Karnataka,Mandya,Ragi,2018,35845,50092,1.4
Karnataka,Mandya,Ragi,2019,43848,65566,1.5
Karnataka,Mandya,Ragi,2020,55660,89279,1.6
Karnataka,Mandya,Ragi,2021,56207,73069,1.3
Karnataka,Mandya,Ragi,2022,57275,76863,1.34
Karnataka,Mysore,Ragi,2012,21283,18965,0.89
Karnataka,Mysore,Ragi,2013,27007,46875,1.74
Karnataka,Mysore,Ragi,2014,26942,60430,2.24
Karnataka,Mysore,Ragi,2015,29877,58100,1.94
Karnataka,Mysore,Ragi,2016,10459,9390,0.9
Karnataka,Mysore,Ragi,2017,37987,60808,1.6
Karnataka,Mysore,Ragi,2018,33236,50771,1.53
Karnataka,Mysore,Ragi,2019,43160,62610,1.45
Karnataka,Mysore,Ragi,2020,51911,87730,1.69
Karnataka,Mysore,Ragi,2021,56925,89657,1.58
Karnataka,Mysore,Ragi,2022,59779,98874,1.65
Karnataka,Raichur,Ragi,2018,84,101,1.2
Karnataka,Raichur,Ragi,2019,77,134,1.74
Karnataka,Raichur,Ragi,2020,57,100,1.75
Karnataka,Raichur,Ragi,2021,97,128,1.32
Karnataka,Raichur,Ragi,2022,30,43,1.43
Karnataka,Ramanagara,Ragi,2012,62037,127654,2.06
Karnataka,Ramanagara,Ragi,2013,69955,175912,2.51
Karnataka,Ramanagara,Ragi,2014,69083,136049,1.97
Karnataka,Ramanagara,Ragi,2015,70105,129670,1.85
Karnataka,Ramanagara,Ragi,2016,66422,46568,0.7
Karnataka,Ramanagara,Ragi,2017,73600,182072,2.47
Karnataka,Ramanagara,Ragi,2018,50031,84175,1.68
Karnataka,Ramanagara,Ragi,2019,56632,131865,2.33
Karnataka,Ramanagara,Ragi,2020,67020,150259,2.24
Karnataka,Ramanagara,Ragi,2021,73155,129704,1.77
Karnataka,Ramanagara,Ragi,2022,57815,111872,1.93
Karnataka,Shimoga,Ragi,2012,1019,1698,1.67
Karnataka,Shimoga,Ragi,2013,662,1114,1.68
Karnataka,Shimoga,Ragi,2014,564,1039,1.84
Karnataka,Shimoga,Ragi,2015,722,1217,1.69
Karnataka,Shimoga,Ragi,2016,885,1141,1.29
Karnataka,Shimoga,Ragi,2017,1018,1877,1.84
Karnataka,Shimoga,Ragi,2018,418,497,1.19
Karnataka,Shimoga,Ragi,2019,500,791,1.58
Karnataka,Shimoga,Ragi,2020,437,715,1.64
Karnataka,Shimoga,Ragi,2021,408,603,1.48
Karnataka,Shimoga,Ragi,2022,83,97,1.17
Karnataka,Tumkur,Ragi,2012,140555,149551,1.06
Karnataka,Tumkur,Ragi,2013,153043,231462,1.51
Karnataka,Tumkur,Ragi,2014,170691,323016,1.89
Karnataka,Tumkur,Ragi,2015,161418,271884,1.68
Karnataka,Tumkur,Ragi,2016,140593,134765,0.96
Karnataka,Tumkur,Ragi,2017,143614,225251,1.57
Karnataka,Tumkur,Ragi,2018,131609,143783,1.09
Karnataka,Tumkur,Ragi,2019,143275,232070,1.62
Karnataka,Tumkur,Ragi,2020,161817,263762,1.63
Karnataka,Tumkur,Ragi,2021,161274,190464,1.18
Karnataka,Tumkur,Ragi,2022,146142,176393,1.21
Karnataka,Udupi,Ragi,2020,1,2,2
Karnataka,Udupi,Ragi,2021,1,1,1
Karnataka,Udupi,Ragi,2022,1,1,1
Karnataka,Uttar kannad,Ragi,2012,12,18,1.5
Karnataka,Uttar kannad,Ragi,2013,8,15,1.88
Karnataka,Uttar kannad,Ragi,2014,8,15,1.88
Karnataka,Uttar kannad,Ragi,2015,5,8,1.6
Karnataka,Uttar kannad,Ragi,2018,3,4,1.33
Karnataka,Uttar kannad,Ragi,2019,6,10,1.67
Karnataka,Uttar kannad,Ragi,2020,3,5,1.67
Karnataka,Uttar kannad,Ragi,2021,4,5,1.25
Karnataka,Uttar kannad,Ragi,2022,6,8,1.33
Karnataka,Vijayanagar,Ragi,2022,13772,15907,1.16
Karnataka,Yadgir,Ragi,2018,10,12,1.2
Karnataka,Yadgir,Ragi,2019,4,7,1.75
Karnataka,Yadgir,Ragi,2020,9,16,1.78
Karnataka,Yadgir,Ragi,2021,9,12,1.33
Karnataka,Yadgir,Ragi,2022,6,8,1.33
Karnataka,Yadgir,Ragi,2012,639822,966643,1.51
Karnataka,Yadgir,Ragi,2013,664119,1243749,1.87
Karnataka,Yadgir,Ragi,2014,701092,1286023,1.83
Karnataka,Yadgir,Ragi,2015,698630,1176512,1.68
Karnataka,Yadgir,Ragi,2016,592530,480236,0.81
Karnataka,Yadgir,Ragi,2017,769933,1554558,2.02
Karnataka,Bagalkot,Rice,2012,49,125,2.55
Karnataka,Bagalkot,Rice,2013,54,160,2.96
Karnataka,Bagalkot,Rice,2014,25,76,3.04
Karnataka,Bagalkot,Rice,2015,32,87,2.72
Karnataka,Bagalkot,Rice,2016,17,47,2.76
Karnataka,Bagalkot,Rice,2018,54,154,2.85
Karnataka,Bagalkot,Rice,2019,33,106,3.21
Karnataka,Bagalkot,Rice,2020,57,188,3.3
Karnataka,Bagalkot,Rice,2021,34,95,2.79
Karnataka,Bagalkot,Rice,2022,24,79,3.29
Karnataka,Bangalore rural,Rice,2012,963,2796,2.9
Karnataka,Bangalore rural,Rice,2013,685,2197,3.21
Karnataka,Bangalore rural,Rice,2014,598,2093,3.5
Karnataka,Bangalore rural,Rice,2015,704,1853,2.63
Karnataka,Bangalore rural,Rice,2016,540,1413,2.62
Karnataka,Bangalore rural,Rice,2017,532,1510,2.84
Karnataka,Bangalore rural,Rice,2018,186,553,2.97
Karnataka,Bangalore rural,Rice,2019,141,410,2.91
Karnataka,Bangalore rural,Rice,2020,204,624,3.06
Karnataka,Bangalore rural,Rice,2021,159,357,2.25
Karnataka,Bangalore rural,Rice,2022,135,398,2.95
Karnataka,Belgaum,Rice,2012,63613,94818,1.49
Karnataka,Belgaum,Rice,2013,58597,123581,2.11
Karnataka,Belgaum,Rice,2014,59938,176688,2.95
Karnataka,Belgaum,Rice,2015,61123,40531,0.66
Karnataka,Belgaum,Rice,2016,65581,123732,1.89
Karnataka,Belgaum,Rice,2017,64555,148535,2.3
Karnataka,Belgaum,Rice,2018,53499,134938,2.52
Karnataka,Belgaum,Rice,2019,60515,151599,2.51
Karnataka,Belgaum,Rice,2020,60300,165403,2.74
Karnataka,Belgaum,Rice,2021,55958,173302,3.1
Karnataka,Belgaum,Rice,2022,51882,143093,2.76
Karnataka,Bellary,Rice,2012,78029,289394,3.71
Karnataka,Bellary,Rice,2013,76010,290788,3.83
Karnataka,Bellary,Rice,2014,77598,286690,3.69
Karnataka,Bellary,Rice,2015,75608,283647,3.75
Karnataka,Bellary,Rice,2016,83580,328323,3.93
Karnataka,Bellary,Rice,2017,55561,234990,4.23
Karnataka,Bellary,Rice,2018,105813,427823,4.04
Karnataka,Bellary,Rice,2019,97180,421999,4.34
Karnataka,Bellary,Rice,2020,107105,474796,4.43
Karnataka,Bellary,Rice,2021,103066,402363,3.9
Karnataka,Bellary,Rice,2022,85986,393669,4.58
Karnataka,Bengaluru urban,Rice,2012,974,3006,3.09
Karnataka,Bengaluru urban,Rice,2013,1113,3941,3.54
Karnataka,Bengaluru urban,Rice,2014,950,3374,3.55
Karnataka,Bengaluru urban,Rice,2015,716,2172,3.03
Karnataka,Bengaluru urban,Rice,2016,296,953,3.22
Karnataka,Bengaluru urban,Rice,2017,226,725,3.21
Karnataka,Bengaluru urban,Rice,2018,328,1217,3.71
Karnataka,Bengaluru urban,Rice,2019,573,2241,3.91
Karnataka,Bengaluru urban,Rice,2020,237,930,3.92
Karnataka,Bengaluru urban,Rice,2021,198,560,2.83
Karnataka,Bengaluru urban,Rice,2022,158,507,3.21
Karnataka,Bidar,Rice,2012,4939,4880,0.99
Karnataka,Bidar,Rice,2013,3572,5541,1.55
Karnataka,Bidar,Rice,2014,2063,1989,0.96
Karnataka,Bidar,Rice,2015,1549,1317,0.85
Karnataka,Bidar,Rice,2016,525,629,1.2
Karnataka,Bidar,Rice,2017,1018,1898,1.86
Karnataka,Bidar,Rice,2018,617,444,0.72
Karnataka,Bidar,Rice,2019,743,832,1.12
Karnataka,Bidar,Rice,2020,969,1076,1.11
Karnataka,Bidar,Rice,2021,602,1008,1.67
Karnataka,Bidar,Rice,2022,836,1093,1.31
Karnataka,Bijapur,Rice,2012,97,247,2.55
Karnataka,Bijapur,Rice,2013,52,154,2.96
Karnataka,Bijapur,Rice,2014,50,153,3.06
Karnataka,Bijapur,Rice,2015,51,138,2.71
Karnataka,Bijapur,Rice,2016,14,39,2.79
Karnataka,Bijapur,Rice,2017,30,86,2.87
Karnataka,Bijapur,Rice,2018,91,259,2.85
Karnataka,Bijapur,Rice,2019,108,346,3.2
Karnataka,Bijapur,Rice,2020,138,455,3.3
Karnataka,Bijapur,Rice,2021,125,388,3.1
Karnataka,Bijapur,Rice,2022,74,246,3.32
Karnataka,Chamarajanagar,Rice,2012,6871,23401,3.41
Karnataka,Chamarajanagar,Rice,2013,15001,55778,3.72
Karnataka,Chamarajanagar,Rice,2014,13739,44455,3.24
Karnataka,Chamarajanagar,Rice,2015,13585,48900,3.6
Karnataka,Chamarajanagar,Rice,2016,6708,14746,2.2
Karnataka,Chamarajanagar,Rice,2017,2648,9831,3.71
Karnataka,Chamarajanagar,Rice,2018,9790,34830,3.56
Karnataka,Chamarajanagar,Rice,2019,6783,23282,3.43
Karnataka,Chamarajanagar,Rice,2020,10713,32643,3.05
Karnataka,Chamarajanagar,Rice,2021,8163,22913,2.81
Karnataka,Chamarajanagar,Rice,2022,7982,25018,3.13
Karnataka,Chikballapur,Rice,2012,3082,8623,2.8
Karnataka,Chikballapur,Rice,2013,2095,5983,2.86
Karnataka,Chikballapur,Rice,2014,799,1900,2.38
Karnataka,Chikballapur,Rice,2015,1216,3350,2.75
Karnataka,Chikballapur,Rice,2016,1392,3457,2.48
Karnataka,Chikballapur,Rice,2017,243,805,3.31
Karnataka,Chikballapur,Rice,2018,583,1825,3.13
Karnataka,Chikballapur,Rice,2019,239,795,3.33
Karnataka,Chikballapur,Rice,2020,2058,6664,3.24
Karnataka,Chikballapur,Rice,2021,3557,10175,2.86
Karnataka,Chikballapur,Rice,2022,1436,3641,2.54
Karnataka,Chikmagalur,Rice,2012,35282,80175,2.27
Karnataka,Chikmagalur,Rice,2013,38396,105672,2.75
Karnataka,Chikmagalur,Rice,2014,37327,97056,2.6
Karnataka,Chikmagalur,Rice,2015,32219,86223,2.68
Karnataka,Chikmagalur,Rice,2016,29637,70867,2.39
Karnataka,Chikmagalur,Rice,2017,24094,57658,2.39
Karnataka,Chikmagalur,Rice,2018,17525,42155,2.41
Karnataka,Chikmagalur,Rice,2019,14399,36236,2.52
Karnataka,Chikmagalur,Rice,2020,13557,36143,2.67
Karnataka,Chikmagalur,Rice,2021,10524,26464,2.51
Karnataka,Chikmagalur,Rice,2022,8775,21310,2.43
Karnataka,Chitradurga,Rice,2012,2864,6470,2.26
Karnataka,Chitradurga,Rice,2013,1196,2692,2.25
Karnataka,Chitradurga,Rice,2014,1048,2376,2.27
Karnataka,Chitradurga,Rice,2015,847,2032,2.4
Karnataka,Chitradurga,Rice,2016,798,1528,1.91
Karnataka,Chitradurga,Rice,2017,355,936,2.64
Karnataka,Chitradurga,Rice,2018,774,1417,1.83
Karnataka,Chitradurga,Rice,2019,96,216,2.25
Karnataka,Chitradurga,Rice,2020,1227,2950,2.4
Karnataka,Chitradurga,Rice,2021,1223,2302,1.88
Karnataka,Chitradurga,Rice,2022,465,798,1.72
Karnataka,Dakshin kannad,Rice,2012,31498,83815,2.66
Karnataka,Dakshin kannad,Rice,2013,31646,87004,2.75
Karnataka,Dakshin kannad,Rice,2014,29749,78228,2.63
Karnataka,Dakshin kannad,Rice,2015,28029,76208,2.72
Karnataka,Dakshin kannad,Rice,2016,28540,88876,3.11
Karnataka,Dakshin kannad,Rice,2017,23343,65884,2.82
Karnataka,Dakshin kannad,Rice,2018,6018,18032,3
Karnataka,Dakshin kannad,Rice,2019,10260,29455,2.87
Karnataka,Dakshin kannad,Rice,2020,6898,20004,2.9
Karnataka,Dakshin kannad,Rice,2021,6139,18016,2.93
Karnataka,Dakshin kannad,Rice,2022,6062,17860,2.95
Karnataka,Davangere,Rice,2012,75562,248085,3.28
Karnataka,Davangere,Rice,2013,74223,248272,3.34
Karnataka,Davangere,Rice,2014,75259,262676,3.49
Karnataka,Davangere,Rice,2015,72469,278618,3.84
Karnataka,Davangere,Rice,2016,70623,225294,3.19
Karnataka,Davangere,Rice,2017,15875,54006,3.4
Karnataka,Davangere,Rice,2018,73711,223171,3.03
Karnataka,Davangere,Rice,2019,69724,232760,3.34
Karnataka,Davangere,Rice,2020,66749,248707,3.73
Karnataka,Davangere,Rice,2021,66436,249969,3.76
Karnataka,Davangere,Rice,2022,61130,228212,3.73
Karnataka,Dharwad,Rice,2012,27411,24009,0.88
Karnataka,Dharwad,Rice,2013,22354,25080,1.12
Karnataka,Dharwad,Rice,2014,20554,32589,1.59
Karnataka,Dharwad,Rice,2015,23897,7287,0.3
Karnataka,Dharwad,Rice,2016,21903,11174,0.51
Karnataka,Dharwad,Rice,2017,22416,13246,0.59
Karnataka,Dharwad,Rice,2018,11103,10105,0.91
Karnataka,Dharwad,Rice,2019,9965,12212,1.23
Karnataka,Dharwad,Rice,2020,12289,16357,1.33
Karnataka,Dharwad,Rice,2021,12788,16172,1.26
Karnataka,Dharwad,Rice,2022,8806,12758,1.45
Karnataka,Gadag,Rice,2012,895,2125,2.37
Karnataka,Gadag,Rice,2013,1362,3906,2.87
Karnataka,Gadag,Rice,2014,1044,2594,2.48
Karnataka,Gadag,Rice,2015,879,2834,3.22
Karnataka,Gadag,Rice,2016,1144,3532,3.09
Karnataka,Gadag,Rice,2017,1321,4523,3.42
Karnataka,Gadag,Rice,2018,2482,6312,2.54
Karnataka,Gadag,Rice,2019,3222,9526,2.96
Karnataka,Gadag,Rice,2020,3290,7883,2.4
Karnataka,Gadag,Rice,2021,3474,7814,2.25
